order,section,chapter,verse_range,type
45,8 – The Signs of the Staff & the Hand,27,10,quran
46,8 – The Signs of the Staff & the Hand,28,31-32,quran
47,8 – The Signs of the Staff & the Hand,27,12,quran
48,9 – Moses' Prayer & Commission to Pharaoh,20,24-25,quran
49,9 – Moses' Prayer & Commission to Pharaoh,20,27,quran
50,9 – Moses' Prayer & Commission to Pharaoh,20,29-35,quran
51,9 – Moses' Prayer & Commission to Pharaoh,20,36,quran
52,9 – Moses' Prayer & Commission to Pharaoh,25,35,quran
53,9 – Moses' Prayer & Commission to Pharaoh,26,13,quran
54,9 – Moses' Prayer & Commission to Pharaoh,28,33,quran
55,9 – Moses' Prayer & Commission to Pharaoh,28,34,quran
56,9 – Moses' Prayer & Commission to Pharaoh,20,43,quran
57,9 – Moses' Prayer & Commission to Pharaoh,20,45,quran
58,9 – Moses' Prayer & Commission to Pharaoh,79,17,quran
59,9 – Moses' Prayer & Commission to Pharaoh,26,10-12,quran
60,9 – Moses' Prayer & Commission to Pharaoh,26,16,quran
61,10 – Confrontation with Pharaoh,20,47,quran
62,10 – Confrontation with Pharaoh,7,103-107,quran
63,10 – Confrontation with Pharaoh,26,32,quran
64,10 – Confrontation with Pharaoh,20,49-52,quran
65,10 – Confrontation with Pharaoh,26,23-31,quran
66,10 – Confrontation with Pharaoh,43,46,quran
67,10 – Confrontation with Pharaoh,43,51-52,quran
68,10 – Confrontation with Pharaoh,20,56-57,quran
69,10 – Confrontation with Pharaoh,28,36-37,quran
70,10 – Confrontation with Pharaoh,10,75,quran
71,10 – Confrontation with Pharaoh,10,77-78,quran
72,10 – Confrontation with Pharaoh,17,101-102,quran
73,10 – Confrontation with Pharaoh,40,23-24,quran
74,10 – Confrontation with Pharaoh,40,26-27,quran
75,10 – Confrontation with Pharaoh,40,28-29,quran
76,10 – Confrontation with Pharaoh,40,30-33,quran
77,10 – Confrontation with Pharaoh,40,34-35,quran
78,10 – Confrontation with Pharaoh,28,38,quran
79,10 – Confrontation with Pharaoh,40,36-37,quran
80,10 – Confrontation with Pharaoh,40,38,quran
81,10 – Confrontation with Pharaoh,10,88-89,quran
82,11 – The Contest with the Magicians,7,109-117,quran
83,11 – The Contest with the Magicians,10,79-81,quran
84,11 – The Contest with the Magicians,20,59-61,quran
85,11 – The Contest with the Magicians,20,65-67,quran
86,11 – The Contest with the Magicians,26,34,quran
87,11 – The Contest with the Magicians,26,40-45,quran
88,12 – The Magicians Believe,7,119-123,quran
89,12 – The Magicians Believe,20,70-71,quran
90,12 – The Magicians Believe,20,73,quran
91,12 – The Magicians Believe,26,48-49,quran
92,12 – The Magicians Believe,26,51,quran
93,12 – The Magicians Believe,10,83-84,quran
94,13 – The Plagues & Pharaoh's Stubbornness,7,127-132,quran
95,13 – The Plagues & Pharaoh's Stubbornness,7,130-131,quran
96,13 – The Plagues & Pharaoh's Stubbornness,7,134,quran
97,13 – The Plagues & Pharaoh's Stubbornness,43,49,quran
98,13 – The Plagues & Pharaoh's Stubbornness,43,54,quran
99,13 – The Plagues & Pharaoh's Stubbornness,27,14,quran
100,13 – The Plagues & Pharaoh's Stubbornness,44,17,quran
101,14 – The Exodus & Parting of the Sea,10,87,quran
102,14 – The Exodus & Parting of the Sea,20,77,quran
103,14 – The Exodus & Parting of the Sea,26,52-54,quran
104,14 – The Exodus & Parting of the Sea,26,60-63,quran
105,14 – The Exodus & Parting of the Sea,44,22,quran
106,15 – Destruction of Pharaoh & His Army,20,78-79,quran
107,15 – Destruction of Pharaoh & His Army,26,64-66,quran
108,15 – Destruction of Pharaoh & His Army,10,90,quran
109,15 – Destruction of Pharaoh & His Army,2,50,quran
110,15 – Destruction of Pharaoh & His Army,28,39-40,quran
111,15 – Destruction of Pharaoh & His Army,17,103,quran
112,15 – Destruction of Pharaoh & His Army,51,38-40,quran
113,15 – Destruction of Pharaoh & His Army,44,25,quran
114,15 – Destruction of Pharaoh & His Army,44,28,quran
115,15 – Destruction of Pharaoh & His Army,40,45-46,quran
116,16 – Deliverance of the Israelites,7,137-138,quran
117,16 – Deliverance of the Israelites,7,139-141,quran
118,16 – Deliverance of the Israelites,44,31-32,quran
119,16 – Deliverance of the Israelites,17,104,quran
120,16 – Deliverance of the Israelites,14,5,quran
121,16 – Deliverance of the Israelites,14,8,quran
122,17 – Mount Sinai & Receiving the Torah,7,142-145,quran
123,17 – Mount Sinai & Receiving the Torah,7,154-155,quran
124,17 – Mount Sinai & Receiving the Torah,2,51,quran
125,17 – Mount Sinai & Receiving the Torah,2,53,quran
126,17 – Mount Sinai & Receiving the Torah,2,55,quran
127,17 – Mount Sinai & Receiving the Torah,4,153,quran
128,17 – Mount Sinai & Receiving the Torah,28,43-46,quran
129,18 – The Golden Calf,7,148,quran
130,18 – The Golden Calf,20,83-84,quran
131,18 – The Golden Calf,20,85,quran
132,18 – The Golden Calf,20,86-88,quran
133,18 – The Golden Calf,20,90-91,quran
134,18 – The Golden Calf,2,54,quran
135,18 – The Golden Calf,2,92,quran
136,19 – Moses Confronts the Calf Worshippers,7,150-151,quran
137,19 – Moses Confronts the Calf Worshippers,20,92-93,quran
138,19 – Moses Confronts the Calf Worshippers,20,95-97,quran
139,20 – Trials in the Wilderness,2,60,quran
140,20 – Trials in the Wilderness,7,160,quran
141,20 – Trials in the Wilderness,2,61,quran
142,20 – Trials in the Wilderness,2,67-69,quran
143,20 – Trials in the Wilderness,2,71,quran
144,20 – Trials in the Wilderness,5,20,quran
145,20 – Trials in the Wilderness,5,22,quran
146,20 – Trials in the Wilderness,5,24-25,quran
147,20 – Trials in the Wilderness,61,5,quran
148,21 – Moses & Al-Khidr,18,60,quran
149,21 – Moses & Al-Khidr,18,62,quran
150,21 – Moses & Al-Khidr,18,64,quran
151,21 – Moses & Al-Khidr,18,66,quran
152,21 – Moses & Al-Khidr,18,69-71,quran
153,21 – Moses & Al-Khidr,18,73-74,quran
154,21 – Moses & Al-Khidr,18,76-77,quran
155,21 – Moses & Al-Khidr,18,78-79,quran
156,21 – Moses & Al-Khidr,18,80-81,quran
157,21 – Moses & Al-Khidr,18,82,quran
158,22 – Qarun's Rebellion,28,76,quran
159,22 – Qarun's Rebellion,28,77,quran
160,22 – Qarun's Rebellion,28,78-79,quran
161,22 – Qarun's Rebellion,28,80,quran
162,22 – Qarun's Rebellion,28,81,quran
163,22 – Qarun's Rebellion,28,82,quran
164,22 – Qarun's Rebellion,29,39-40,quran
165,23 – The Torah as Guidance & Light,5,44,quran
166,23 – The Torah as Guidance & Light,6,91,quran
167,23 – The Torah as Guidance & Light,6,154,quran
168,23 – The Torah as Guidance & Light,17,2,quran
169,23 – The Torah as Guidance & Light,32,23,quran
170,23 – The Torah as Guidance & Light,40,53,quran
171,23 – The Torah as Guidance & Light,21,48,quran
172,23 – The Torah as Guidance & Light,11,17,quran
173,23 – The Torah as Guidance & Light,3,3,quran
174,23 – The Torah as Guidance & Light,2,87,quran
175,23 – The Torah as Guidance & Light,46,12,quran
176,23 – The Torah as Guidance & Light,46,30,quran
177,23 – The Torah as Guidance & Light,28,48,quran
178,24 – Moses' Legacy & Character,37,114,quran
179,24 – Moses' Legacy & Character,37,120,quran
180,24 – Moses' Legacy & Character,33,69,quran
181,24 – Moses' Legacy & Character,7,159,quran
182,24 – Moses' Legacy & Character,11,110,quran
183,24 – Moses' Legacy & Character,41,45,quran
184,24 – Moses' Legacy & Character,2,108,quran
185,25 – Warning Through Pharaoh's Example,23,45-46,quran
186,25 – Warning Through Pharaoh's Example,23,48-49,quran
187,25 – Warning Through Pharaoh's Example,11,96-97,quran
188,25 – Warning Through Pharaoh's Example,3,11,quran
189,25 – Warning Through Pharaoh's Example,8,52,quran
190,25 – Warning Through Pharaoh's Example,8,54,quran
191,25 – Warning Through Pharaoh's Example,54,41,quran
192,25 – Warning Through Pharaoh's Example,54,43,quran
193,25 – Warning Through Pharaoh's Example,69,9,quran
194,25 – Warning Through Pharaoh's Example,73,15-16,quran
195,25 – Warning Through Pharaoh's Example,79,20-21,quran
196,25 – Warning Through Pharaoh's Example,79,24,quran
197,25 – Warning Through Pharaoh's Example,85,18,quran
198,25 – Warning Through Pharaoh's Example,89,10,quran
199,25 – Warning Through Pharaoh's Example,38,12,quran
200,25 – Warning Through Pharaoh's Example,50,13,quran
201,25 – Warning Through Pharaoh's Example,22,44,quran
202,26 – Later Generations & Belief in All Prophets,2,4,quran
203,26 – Later Generations & Belief in All Prophets,7,163,quran
204,26 – Later Generations & Belief in All Prophets,2,246,quran
205,26 – Later Generations & Belief in All Prophets,2,248,quran
206,26 – Later Generations & Belief in All Prophets,62,5,quran
207,26 – Later Generations & Belief in All Prophets,3,93,quran
208,26 – Later Generations & Belief in All Prophets,4,150,quran
209,26 – Later Generations & Belief in All Prophets,57,28,quran
210,26 – Later Generations & Belief in All Prophets,53,36,quran
211,26 – Later Generations & Belief in All Prophets,87,19,quran
212,26 – Later Generations & Belief in All Prophets,21,105,quran
213,27 – Hadith: Moses' Character & Shyness,55,616,hadith
214,27 – Hadith: Moses' Character & Shyness,60,323,hadith
215,27 – Hadith: Moses' Character & Shyness,5,277,hadith
216,28 – Hadith: Moses & Al-Khidr,3,74,hadith
217,28 – Hadith: Moses & Al-Khidr,3,78,hadith
218,28 – Hadith: Moses & Al-Khidr,3,124,hadith
219,28 – Hadith: Moses & Al-Khidr,55,612,hadith
220,28 – Hadith: Moses & Al-Khidr,55,613,hadith
221,28 – Hadith: Moses & Al-Khidr,60,249,hadith
222,28 – Hadith: Moses & Al-Khidr,60,250,hadith
223,28 – Hadith: Moses & Al-Khidr,60,251,hadith
224,28 – Hadith: Moses & Al-Khidr,36,467,hadith
225,28 – Hadith: Moses & Al-Khidr,50,888,hadith
226,28 – Hadith: Moses & Al-Khidr,54,498,hadith
227,28 – Hadith: Moses & Al-Khidr,78,665,hadith
228,28 – Hadith: Moses & Al-Khidr,93,570,hadith
229,29 – Hadith: Moses & the Angel of Death,23,423,hadith
230,29 – Hadith: Moses & the Angel of Death,55,619,hadith
231,30 – Hadith: Fasting of Ashura,31,222,hadith
232,30 – Hadith: Fasting of Ashura,31,223,hadith
233,30 – Hadith: Fasting of Ashura,55,609,hadith
234,30 – Hadith: Fasting of Ashura,58,278,hadith
235,30 – Hadith: Fasting of Ashura,58,279,hadith
236,30 – Hadith: Fasting of Ashura,60,202,hadith
237,30 – Hadith: Fasting of Ashura,60,261,hadith
238,31 – Hadith: The Night Journey & Moses in the Heavens,8,345,hadith
239,31 – Hadith: The Night Journey & Moses in the Heavens,54,429,hadith
240,31 – Hadith: The Night Journey & Moses in the Heavens,58,227,hadith
241,31 – Hadith: The Night Journey & Moses in the Heavens,93,608,hadith
242,31 – Hadith: The Night Journey & Moses in the Heavens,54,462,hadith
243,31 – Hadith: The Night Journey & Moses in the Heavens,55,607,hadith
244,31 – Hadith: The Night Journey & Moses in the Heavens,55,647,hadith
245,31 – Hadith: The Night Journey & Moses in the Heavens,55,648,hadith
246,32 – Hadith: Adam & Moses Debate,55,621,hadith
247,32 – Hadith: Adam & Moses Debate,60,260,hadith
248,32 – Hadith: Adam & Moses Debate,60,262,hadith
249,32 – Hadith: Adam & Moses Debate,77,611,hadith
250,32 – Hadith: Adam & Moses Debate,93,606,hadith
251,33 – Hadith: Moses & Muhammad ﷺ Compared,55,620,hadith
252,33 – Hadith: Moses & Muhammad ﷺ Compared,55,626,hadith
253,33 – Hadith: Moses & Muhammad ﷺ Compared,41,594,hadith
254,33 – Hadith: Moses & Muhammad ﷺ Compared,76,524,hadith
255,33 – Hadith: Moses & Muhammad ﷺ Compared,93,564,hadith
256,33 – Hadith: Moses & Muhammad ﷺ Compared,83,52,hadith
257,33 – Hadith: Moses & Muhammad ﷺ Compared,60,162,hadith
258,33 – Hadith: Moses & Muhammad ﷺ Compared,55,608,hadith
259,34 – Hadith: The Grand Intercession & Day of Resurrection,60,3,hadith
260,34 – Hadith: The Grand Intercession & Day of Resurrection,93,507,hadith
261,34 – Hadith: The Grand Intercession & Day of Resurrection,93,601,hadith
262,34 – Hadith: The Grand Intercession & Day of Resurrection,76,570,hadith
263,34 – Hadith: The Grand Intercession & Day of Resurrection,55,610,hadith
264,34 – Hadith: The Grand Intercession & Day of Resurrection,60,337,hadith
265,34 – Hadith: The Grand Intercession & Day of Resurrection,76,525,hadith
266,34 – Hadith: The Grand Intercession & Day of Resurrection,93,524,hadith
267,34 – Hadith: The Grand Intercession & Day of Resurrection,55,622,hadith
268,34 – Hadith: The Grand Intercession & Day of Resurrection,71,606,hadith
269,34 – Hadith: The Grand Intercession & Day of Resurrection,71,648,hadith
270,35 – Hadith: Pharaoh's Wife Among the Best Women,55,623,hadith
271,35 – Hadith: Pharaoh's Wife Among the Best Women,57,113,hadith
272,35 – Hadith: Pharaoh's Wife Among the Best Women,65,329,hadith
273,35 – Hadith: Pharaoh's Wife Among the Best Women,55,643,hadith
274,36 – Hadith: Aaron to Moses – Ali's Station,59,700,hadith
275,37 – Hadith: Double Reward for Believers of Prior Prophets,3,97,hadith
276,37 – Hadith: Double Reward for Believers of Prior Prophets,55,655,hadith
277,38 – Hadith: The Companions & the Example of Bani Israel,60,133,hadith
278,38 – Hadith: The Companions & the Example of Bani Israel,59,288,hadith
279,38 – Hadith: The Companions & the Example of Bani Israel,4,226,hadith
280,38 – Hadith: The Companions & the Example of Bani Israel,55,617,hadith
281,38 – Hadith: The Companions & the Example of Bani Israel,73,85,hadith
282,38 – Hadith: The Companions & the Example of Bani Israel,73,122,hadith
283,38 – Hadith: The Companions & the Example of Bani Israel,74,306,hadith
284,38 – Hadith: The Companions & the Example of Bani Israel,75,348,hadith
285,38 – Hadith: The Companions & the Example of Bani Israel,53,378,hadith
286,38 – Hadith: The Companions & the Example of Bani Israel,59,624,hadith
287,38 – Hadith: The Companions & the Example of Bani Israel,59,625,hadith
